##	Base30	Cluster0	Cluster3	Cluster6
280	(9)(10)	10110011110001110	11110010010010000	10110000100001110
281	(9)(11)	10110011111011110	11111101101101110	10010000010111100
282	(9)(12)	11011000101000000	11110110110010000	10110000110111100
283	(9)(13)	11101100010110000	11111011011001100	10010000010011110
284	(9)(14)	11110110001011100	11111001001000110	10110000110011110
285	(9)(15)	11011000100100000	11110110110001000	10110000010111000
286	(9)(16)	11101100010011000	11110010010000100	11011000001011110
287	(9)(17)	11110110001001110	11110110110000100	10110000010011100
288	(9)(18)	11011000100010000	11110010010000010	10110000010001110
289	(9)(19)	11101100010001100	11110110110000010	10010000001011110
290	(9)(20)	11011000100001000	11100100110100000	10110000011011110
291	(9)(21)	11101100010000110	11110010011011000	10110000001011100
292	(9)(22)	11011000100000100	11111001001101110	10110000001001110
293	(9)(23)	11011000100000010	11101101110100000	10001010111100000
294	(9)(24)	10010000101000000	11100100110010000	11000101011111000
295	(9)(25)	11001000010110000	11110010011001100	11100010101111110
296	(9)(26)	11100100001011100	11101101110010000	10001010011110000
297	(9)(27)	10110001101000000	11110110111001100	11000101001111100
298	(9)(28)	10010000100100000	11110010011000110	10001010001111000
299	(9)(29)	11001000010011000	11101101110001000	11000101000111110
300	(10)(0)	11100100001001110	11100100110000100	10001010000111100
301	(10)(1)	10110001100100000	11101101110000100	10001010000011110
302	(10)(2)	11011000110011000	11100100110000010	11111100010110100
303	(10)(3)	11101100011001110	11101101110000010	10001011011111000
304	(10)(4)	10110001100010000	11001001110100000	11000101101111110
305	(10)(5)	10010000100001000	11100100111011000	11111100010110010
306	(10)(6)	11001000010000110	11110010011101110	10001011001111100
307	(10)(7)	10110001100001000	11011011110100000	10001011000111110
308	(10)(8)	11011000110000110	11001001110010000	11111000101110100
309	(10)(9)	10110001100000100	11100100111001100	10001011101111110
310	(10)(10)	10010000110110000	11011011110010000	11111000101110010
311	(10)(11)	11001000011011100	11101101111001100	11110001011110100
312	(10)(12)	10110001110110000	11100100111000110	11110001011110010
313	(10)(13)	10010000110011000	11011011110001000	11100010111110100
314	(10)(14)	11001000011001110	11001001110000100	11100010111110010
315	(10)(15)	10110001110011000	11011011110000100	11000101111110100
316	(10)(16)	11011000111001110	11001001110000010	11000101111110010
317	(10)(17)	10110001110001100	11011011110000010	10011010111000000
318	(10)(18)	10010000110000110	10010011110100000	11001101011110000
319	(10)(19)	10110001110000110	11001001111011000	11100110101111100
320	(10)(20)	10110001111011100	11100100111101110	10011010011100000
321	(10)(21)	10110001111001110	10110111110100000	11001101001111000
322	(10)(22)	11011000010100000	10010011110010000	11100110100111110
323	(10)(23)	11101100001011000	11001001111001100	10011010001110000
324	(10)(24)	11110110000101110	10110111110010000	11001101000111100
325	(10)(25)	11011000010010000	11011011111001100	10011010000111000
326	(10)(26)	11101100001001100	11001001111000110	11001101000011110
327	(10)(27)	11011000010001000	10110111110001000	10011010000011100
328	(10)(28)	11101100001000110	10010011110000100	10011010000001110
329	(10)(29)	11011000010000100	10110111110000100	10001001011110000
330	(11)(0)	11011000010000010	10010011110000010	11000100101111100
331	(11)(1)	10010000010100000	10010011111011000	10011011011110000
332	(11)(2)	11001000001011000	11001001111101110	10001001001111000
333	(11)(3)	11100100000101110	10110111111011000	11000100100111110
334	(11)(4)	10110000110100000	10010011111001100	10011011001111000
335	(11)(5)	10010000010010000	10110111111001100	11001101100111110
336	(11)(6)	11001000001001100	10010011111000110	10011011000111100
337	(11)(7)	10110000110010000	10110111111000110	10001001000011110
338	(11)(8)	11011000011001100	10010011111101110	10011011000011110
339	(11)(9)	11001000001000110	11111011001010000	11111100010011010
340	(11)(10)	10110000110001000	11111101100101100	10001001101111100
341	(11)(11)	10010000010000100	10110010111111000	11111100110111010
342	(11)(12)	10110000110000100	11111011001001000	10011011101111100
343	(11)(13)	10010000010000010	11111101100100110	10001001100111110
344	(11)(14)	10010000011011000	10110010011111100	10011011100111110
345	(11)(15)	10110000111011000	11111011001000100	11111000100111010
346	(11)(16)	10110000111001100	10110010001111110	11111001101111010
347	(11)(17)	10110000111000110	11111011001000010	11110001001111010
348	(11)(18)	11101100000101100	11110010001010000	11110011011111010
349	(11)(19)	11101100000100110	11111001000101100	11100010011111010
350	(11)(20)	11011000001000010	11110110011010000	11100110111111010
351	(11)(21)	11001000000101100	11110010001001000	11000100111111010
352	(11)(22)	10010000001001000	11111001000100110	11011101011100000
353	(11)(23)	10110000011001000	11110110011001000	11101110101111000
354	(11)(24)	10110000011000100	11111011001100110	11110111010111110
355	(11)(25)	10110000011000010	11110110011000100	10111010011000000
356	(11)(26)	11000101011000000	11110010001000010	11011101001110000
357	(11)(27)	11100010101110000	11110110011000010	11101110100111100
358	(11)(28)	11110001010111100	11100100011010000	10111010001100000
359	(11)(29)	11000101001100000	11110010001101100	11011101000111000
360	(12)(0)	11100010100111000	11101100111010000	11101110100011110
361	(12)(1)	10001010001000000	11100100011001000	10111010000110000
362	(12)(2)	11000101000110000	11110010001100110	11011101000011100
363	(12)(3)	11100010100011100	11101100111001000	10111010000011000
364	(12)(4)	10001010000100000	11110110011100110	11011101000001110
365	(12)(5)	11000101000011000	11101100111000100	10111010000001100
366	(12)(6)	10001010000010000	11100100011000010	10011001011100000
367	(12)(7)	10001010000001000	11101100111000010	11001100101111000
368	(12)(8)	10001011011000000	11001000111010000	11100110010111110
369	(12)(9)	11000101101110000	11100100011101100	10111011011100000
370	(12)(10)	11100010110111100	11011001111010000	10011001001110000
371	(12)(11)	10001011001100000	11001000111001000	11001100100111100
372	(12)(12)	11000101100111000	11100100011100110	10111011001110000
373	(12)(13)	11100010110011110	11011001111001000	11011101100111100
374	(12)(14)	10001011000110000	11101100111100110	11001100100011110
375	(12)(15)	11000101100011100	11011001111000100	10111011000111000
376	(12)(16)	10001011000011000	11001000111000010	10011001000011100
377	(12)(17)	10001011000001100	11011001111000010	10111011000011100
378	(12)(18)	10001011101110000	10010001111010000	10011001000001110
379	(12)(19)	11000101110111100	11001000111101100	10111011000001110
380	(12)(20)	10001011100111000	10110011111010000	10001000101111000
381	(12)(21)	11000101110011110	10010001111001000	11000100010111110
382	(12)(22)	10001011100011100	11001000111100110	10011001101111000
383	(12)(23)	10001011110111100	10110011111001000	10001000100111100
384	(12)(24)	10001011110011110	11011001111100110	10111011101111000
385	(12)(25)	11100110101100000	10110011111000100	10011001100111100
386	(12)(26)	11110011010111000	10010001111000010	10001000100011110
387	(12)(27)	11111001101011110	10110011111000010	10111011100111100
388	(12)(28)	11001101001000000	10010001111101100	10011001100011110
389	(12)(29)	11100110100110000	10110011111101100	10111011100011110
390	(13)(0)	11110011010011100	10010001111100110	10001000110111110
391	(13)(1)	11001101000100000	10110011111100110	10011001110111110
392	(13)(2)	11100110100011000	11111011000101000	10111011110111110
393	(13)(3)	11110011010001110	11111101100010110	10111001011000000
394	(13)(4)	11001101000010000	10110001011111100	11011100101110000
395	(13)(5)	11100110100001100	11111011000100100	11101110010111100
396	(13)(6)	11001101000001000	10110001001111110	10111001001100000
397	(13)(7)	11100110100000110	11111011000100010	11011100100111000
398	(13)(8)	11000100101100000	11110010000101000	11101110010011110
399	(13)(9)	11100010010111000	11111001000010110	10111001000110000
400	(13)(10)	11110001001011110	11110110001101000	11011100100011100
401	(13)(11)	11001101101100000	11111011000110110	10111001000011000
402	(13)(12)	11000100100110000	11110110001100100	11011100100001110
403	(13)(13)	11100010010011100	11110010000100010	10111001000001100
404	(13)(14)	10011011001000000	11110110001100010	10111001000000110
405	(13)(15)	10001001000100000	11100100001101000	10011000101110000
406	(13)(16)	11100110110011100	11110010000110110	11001100010111100
407	(13)(17)	11100010010001110	11101100011101000	10111001101110000
408	(13)(18)	10011011000100000	11100100001100100	10011000100111000
409	(13)(19)	11001101100011000	11101100011100100	11001100010011110
410	(13)(20)	11000100100001100	11100100001100010	10111001100111000
411	(13)(21)	10011011000010000	11101100011100010	11011100110011110
412	(13)(22)	10001001000001000	11001000011101000	10111001100011100
413	(13)(23)	10011011000001000	11100100001110110	10011000100001110
414	(13)(24)	10001001101100000	11011000111101000	10111001100001110
415	(13)(25)	11000100110111000	11101100011110110	10001000010111100
416	(13)(26)	11100010011011110	11011000111100100	10011000110111100
417	(13)(27)	10011011101100000	11001000011100010	10001000010011110
418	(13)(28)	10001001100110000	11011000111100010	10111001110111100
419	(13)(29)	11100110111011110	10010000111101000	10011000110011110
420	(14)(0)	10011011100110000	11001000011110110	10111001110011110
421	(14)(1)	11001101110011100	10110001111101000	10111000101100000
422	(14)(2)	11000100110001110	10010000111100100	11011100010111000
423	(14)(3)	10011011100011000	10110001111100100	11101110001011110
